,angle,torque,diff
0,0.3,2.3,0.5000000000000004
1,0.5,2.4,0.5000000000000004
2,0.6,2.5,1.000000000000001
3,0.7,2.6,1.000000000000001
4,0.8,2.7,1.0
5,0.9,2.9,1.9999999999999978
6,1.0,3.0,1.000000000000001
7,1.1,3.1,1.0
8,1.2,3.3,2.0
9,1.3,3.4,1.0
10,1.5,3.5,0.5000000000000006
11,1.6,3.6,1.0
12,1.9,3.6,0.0
13,2.0,3.7,1.0
14,3.5,4.0,0.19999999999999987
15,3.8,4.0,0.0
16,4.2,4.1,0.2499999999999989
17,4.7,4.1,0.0
18,4.9,4.1,0.0
19,5.1,4.2,0.5000000000000044
20,5.6,4.2,0.0
21,6.1,4.2,0.0
22,6.3,4.3,0.4999999999999978
23,7.1,4.3,0.0
24,7.5,4.4,0.2500000000000011
25,7.7,4.4,0.0
26,8.0,4.4,0.0
27,8.4,4.4,0.0
28,8.9,4.4,0.0
29,9.1,4.5,0.5
30,9.5,4.5,0.0
31,9.7,4.4,-0.5
32,10.2,4.4,0.0
33,10.4,4.5,0.49999999999999556
34,10.7,4.5,0.0
35,11.1,4.5,0.0
36,11.6,4.5,0.0
37,11.9,4.5,0.0
38,12.1,4.5,0.0
39,12.6,4.5,0.0
40,13.1,4.5,0.0
41,13.4,4.5,0.0
42,13.6,4.5,0.0
43,14.1,4.6,0.1999999999999993
44,14.6,4.6,0.0
45,14.9,4.6,0.0
46,15.1,4.6,0.0
47,15.5,4.6,0.0
48,15.9,4.6,0.0
49,16.3,4.7,0.2500000000000011
50,16.8,4.6,-0.20000000000000107
51,17.2,4.6,0.0
52,17.4,4.7,0.5000000000000044
53,17.6,4.7,0.0
54,18.0,4.8,0.25
55,18.3,4.8,0.0
56,18.5,4.8,0.0
57,18.6,4.8,0.0
58,18.9,4.8,0.0
59,19.2,4.8,0.0
60,19.4,4.8,0.0
61,19.7,4.8,0.0
62,20.2,4.8,0.0
63,20.4,4.9,0.5000000000000044
64,20.5,5.0,0.9999999999999822
65,20.8,4.9,-0.33333333333333137
66,21.0,5.0,0.5
67,21.3,5.0,0.0
68,21.4,5.0,0.0
69,21.8,5.0,0.0
70,22.0,5.0,0.0
71,22.3,5.0,0.0
72,22.7,5.1,0.25
73,23.3,5.1,0.0
74,23.5,5.1,0.0
75,23.7,5.1,0.0
76,24.1,5.1,0.0
77,24.7,5.2,0.16666666666666816
78,24.9,5.2,0.0
79,25.4,5.2,0.0
80,25.6,5.2,0.0
81,26.0,5.3,0.25
82,26.2,5.3,0.0
83,26.6,5.3,0.0
84,27.0,5.2,-0.25
85,27.5,5.2,0.0
86,28.0,5.2,0.0
87,28.2,5.3,0.5
88,28.7,5.3,0.0
89,29.0,5.3,0.0
90,29.5,5.3,0.0
91,29.7,5.4,0.5000000000000044
92,30.3,5.4,0.0
93,30.6,5.3,-0.3333333333333343
94,31.2,5.3,0.0
95,32.0,5.4,0.12500000000000056
96,32.3,5.4,0.0
97,33.0,5.4,0.0
98,33.3,5.4,0.0
99,33.9,5.4,0.0
100,34.2,5.5,0.33333333333332743
101,34.7,5.5,0.0
102,35.0,5.4,-0.3333333333333353
103,35.5,5.4,0.0
104,36.0,5.4,0.0
105,36.3,5.4,0.0
106,36.8,5.5,0.1999999999999993
107,37.3,5.5,0.0
108,37.7,5.5,0.0
109,37.9,5.5,0.0
110,38.4,5.5,0.0
111,38.6,5.5,0.0
112,39.0,5.5,0.0
113,39.2,5.5,0.0
114,39.6,5.4,-0.25
115,40.0,5.5,0.25
116,40.4,5.5,0.0
117,40.8,5.6,0.25
118,41.3,5.6,0.0
119,41.4,5.6,0.0
120,41.7,5.6,0.0
121,41.8,5.6,0.0
122,42.1,5.6,0.0
123,42.2,5.6,0.0
124,42.5,5.6,0.0
125,42.6,5.6,0.0
126,42.9,5.7,0.33333333333333826
127,43.0,5.7,0.0
128,43.4,5.7,0.0
129,43.5,5.7,0.0
130,44.0,5.7,0.0
131,44.4,5.7,0.0
132,44.6,5.7,0.0
133,45.0,5.8,0.25
134,45.1,5.8,0.0
135,45.5,5.8,0.0
136,45.8,5.8,0.0
137,46.2,5.9,0.24999999999999778
138,46.5,5.9,0.0
139,46.7,5.8,-0.49999999999999556
140,47.0,5.8,0.0
141,47.1,5.8,0.0
142,47.5,5.7,-0.25
143,47.6,5.6,-0.9999999999999911
144,47.9,5.5,-0.3333333333333353
145,48.1,5.0,-2.4999999999999645
146,48.2,4.6,-3.9999999999999467
