,angle,torque,diff
0,0.1,2.4,3.0000000000000027
1,0.2,2.7,3.0000000000000027
2,0.3,2.9,1.9999999999999978
3,0.5,3.1,1.0000000000000009
4,0.6,3.1,0.0
5,0.7,3.2,1.000000000000001
6,0.8,3.3,0.9999999999999956
7,0.9,3.4,1.000000000000001
8,1.2,3.9,1.666666666666667
9,1.4,4.0,0.5000000000000006
10,1.5,4.1,0.9999999999999956
11,1.7,4.2,0.5000000000000028
12,1.8,4.3,0.9999999999999956
13,2.0,4.3,0.0
14,2.1,4.3,0.0
15,2.4,4.4,0.3333333333333353
16,2.5,4.4,0.0
17,2.8,4.5,0.33333333333333237
18,3.0,4.6,0.4999999999999978
19,3.3,4.6,0.0
20,3.4,4.6,0.0
21,3.8,4.7,0.2500000000000014
22,3.9,4.6,-1.0000000000000044
23,4.0,4.7,1.0000000000000044
24,4.1,4.7,0.0
25,4.2,4.7,0.0
26,4.3,4.7,0.0
27,4.5,4.7,0.0
28,4.7,4.6,-0.5000000000000022
29,4.8,4.6,0.0
30,5.0,4.5,-0.4999999999999978
31,5.2,4.5,0.0
32,5.3,4.5,0.0
33,5.4,4.5,0.0
34,5.7,4.5,0.0
35,6.0,4.5,0.0
36,6.2,4.5,0.0
37,6.4,4.5,0.0
38,6.7,4.5,0.0
39,7.1,4.6,0.24999999999999944
40,7.6,4.6,0.0
41,8.0,4.6,0.0
42,8.5,4.6,0.0
43,8.7,4.7,0.5000000000000044
44,8.9,4.7,0.0
45,9.3,4.7,0.0
46,9.7,4.7,0.0
47,9.9,4.7,0.0
48,10.1,4.7,0.0
49,10.4,4.7,0.0
50,10.7,4.8,0.3333333333333333
51,10.8,4.8,0.0
52,10.9,4.8,0.0
53,11.2,4.8,0.0
54,11.4,4.8,0.0
55,11.6,4.8,0.0
56,11.7,4.8,0.0
57,12.0,4.9,0.3333333333333343
58,12.4,4.9,0.0
59,12.6,4.9,0.0
60,12.9,5.0,0.33333333333333137
61,13.2,4.9,-0.3333333333333333
62,13.4,4.9,0.0
63,13.9,4.9,0.0
64,14.1,4.9,0.0
65,14.7,4.8,-0.16666666666666766
66,15.1,4.8,0.0
67,15.3,4.9,0.5
68,15.7,4.9,0.0
69,16.0,4.9,0.0
70,16.4,4.9,0.0
71,16.9,4.9,0.0
72,17.2,4.9,0.0
73,17.7,5.0,0.1999999999999993
74,18.0,5.0,0.0
75,18.9,5.0,0.0
76,19.2,5.0,0.0
77,19.9,5.0,0.0
78,20.2,4.9,-0.33333333333333137
79,20.7,4.9,0.0
80,21.0,4.9,0.0
81,21.6,4.8,-0.16666666666666716
82,21.9,4.7,-0.3333333333333353
83,22.6,4.5,-0.2857142857142848
84,23.1,4.5,0.0
85,23.4,4.4,-0.3333333333333353
86,23.9,4.4,0.0
87,24.2,4.3,-0.3333333333333343
88,24.7,4.3,0.0
89,24.9,4.3,0.0
90,25.5,4.3,0.0
91,25.7,4.3,0.0
92,26.3,4.3,0.0
93,26.5,4.4,0.5000000000000044
94,27.4,4.6,0.2222222222222218
95,28.5,4.8,0.18181818181818174
96,29.3,4.8,0.0
97,29.7,4.7,-0.25
98,30.5,4.7,0.0
99,30.8,4.7,0.0
100,31.5,4.8,0.1428571428571425
101,31.8,4.8,0.0
102,32.5,4.8,0.0
103,32.8,4.7,-0.3333333333333353
104,33.4,4.7,0.0
105,34.4,4.6,-0.10000000000000053
106,34.8,4.7,0.2500000000000022
107,35.4,4.7,0.0
108,35.8,4.7,0.0
109,36.5,4.7,0.0
110,36.8,4.7,0.0
111,37.5,4.7,0.0
112,37.9,4.7,0.0
113,38.6,4.7,0.0
114,39.0,4.6,-0.2500000000000022
115,39.7,4.6,0.0
116,40.1,4.6,0.0
117,40.8,4.6,0.0
118,41.2,4.6,0.0
119,42.0,4.6,0.0
120,42.3,4.6,0.0
121,43.0,4.6,0.0
122,43.3,4.6,0.0
123,43.7,4.5,-0.24999999999999556
124,43.9,4.4,-0.5000000000000089
125,44.3,4.3,-0.2500000000000022
126,44.7,3.9,-0.9999999999999856
127,44.8,3.6,-3.0000000000001688
128,45.0,3.4,-0.9999999999999867
129,45.1,2.9,-4.999999999999929
