,angle,torque,diff
0,1.6,30.3,2.333333333333332
1,1.9,31.0,2.333333333333332
2,2.1,31.4,1.9999999999999911
3,2.3,31.8,2.0000000000000133
4,2.4,32.3,4.99999999999996
5,2.6,32.8,2.499999999999998
6,2.9,33.5,2.333333333333344
7,3.1,34.0,2.499999999999998
8,3.2,34.6,6.000000000000009
9,3.3,35.1,5.000000000000018
10,3.5,35.4,1.4999999999999845
11,3.6,36.3,8.999999999999979
12,3.8,36.6,1.5000000000000233
13,4.0,37.0,1.9999999999999911
14,4.2,37.6,3.0000000000000044
15,4.4,38.0,1.9999999999999911
16,4.5,38.4,4.0
17,4.7,38.8,1.9999999999999911
18,4.9,39.8,4.999999999999996
19,5.0,40.3,5.000000000000018
20,5.2,41.1,4.000000000000018
21,5.3,41.6,5.000000000000018
22,5.4,42.3,6.99999999999992
23,5.5,42.6,3.0000000000000533
24,5.6,42.9,2.9999999999999822
25,5.7,43.1,2.0000000000000178
26,5.8,43.5,4.0
27,5.9,43.8,2.9999999999999556
28,6.0,44.1,3.0000000000000533
29,6.1,44.5,4.0
30,6.2,44.9,3.9999999999999645
31,6.3,45.2,3.0000000000000533
32,6.4,45.7,4.999999999999973
33,6.5,46.2,5.000000000000018
34,6.6,46.5,2.9999999999999822
35,6.7,47.2,6.999999999999991
36,6.8,47.3,0.9999999999999467
37,6.9,47.5,2.0000000000000178
38,7.0,47.6,1.0000000000000178
39,7.1,47.8,1.9999999999999645
40,7.3,48.0,1.0000000000000133
41,7.4,48.3,2.9999999999999556
42,7.6,48.9,3.0000000000000178
43,7.8,49.3,1.9999999999999911
44,7.9,50.1,8.0
45,8.0,50.7,6.0000000000000355
46,8.1,52.0,13.000000000000018
47,8.2,52.8,8.0
48,8.3,52.8,0.0
49,8.4,52.5,-2.9999999999999822
50,8.6,52.3,-1.0000000000000178
51,8.9,52.4,0.33333333333333726
52,9.0,52.7,3.0000000000000533
53,9.3,53.4,2.3333333333333135
54,9.6,54.3,3.0000000000000058
55,9.7,55.6,13.000000000000089
56,9.8,56.3,6.999999999999858
57,9.9,56.9,6.0000000000000355
58,10.0,58.3,14.000000000000036
59,10.1,59.4,11.000000000000053
60,10.2,59.6,2.0000000000000355
61,10.3,60.0,3.999999999999929
62,10.4,60.6,6.0000000000000355
63,10.5,61.0,4.0
64,10.6,61.9,9.000000000000018
65,10.7,62.6,7.000000000000053
66,10.8,62.5,-1.0
67,10.9,62.3,-2.0000000000000355
68,11.0,62.5,2.0000000000000355
69,11.2,62.7,1.0000000000000178
70,11.3,63.3,5.999999999999858
71,11.4,64.4,11.000000000000124
