,angle,torque,diff
0,0.3,26.8,2.9999999999999956
1,0.6,27.7,2.9999999999999956
2,0.7,28.3,6.000000000000016
3,1.4,31.1,4.000000000000001
4,1.6,31.7,2.9999999999999867
5,1.8,31.9,0.9999999999999967
6,2.0,32.3,1.9999999999999933
7,2.3,32.7,1.333333333333353
8,2.6,33.5,2.666666666666655
9,2.9,34.0,1.6666666666666676
10,3.1,34.6,3.0000000000000044
11,3.3,35.2,3.000000000000011
12,3.5,35.8,2.999999999999969
13,3.7,36.4,3.0000000000000044
14,3.8,37.5,11.000000000000053
15,3.9,38.4,8.999999999999979
16,4.0,39.2,8.000000000000036
17,4.1,39.3,0.9999999999999467
18,4.4,39.3,0.0
19,4.7,39.5,0.6666666666666765
20,5.1,40.1,1.5000000000000056
21,5.2,40.6,4.999999999999973
22,5.5,41.3,2.3333333333333206
23,5.6,41.9,6.0000000000000355
24,5.8,42.6,3.500000000000011
25,6.0,43.1,2.499999999999998
26,6.2,43.8,3.4999999999999756
27,6.3,44.3,5.000000000000018
28,6.4,45.3,9.999999999999947
29,6.5,46.5,12.000000000000071
30,6.6,47.2,7.000000000000053
31,6.7,47.3,0.9999999999999378
32,6.8,47.2,-0.9999999999999467
33,7.0,47.1,-0.5000000000000067
34,7.1,47.2,1.0000000000000178
35,7.3,47.4,0.9999999999999778
36,7.5,47.8,1.9999999999999911
37,7.8,48.3,1.6666666666666676
38,8.0,49.1,4.000000000000018
39,8.1,49.6,5.000000000000018
40,8.2,50.1,5.000000000000018
41,8.3,52.2,20.999999999999716
