,angle,torque
0,0.01,9.2
1,0.03,9.5
2,0.05,9.8
3,0.07,10.2
4,0.09,10.8
5,0.11,11.2
6,0.13,11.8
7,0.15,12.2
8,0.17,14.1
9,0.19,14.5
10,0.21,14.8
11,0.23,15.3
12,0.25,15.7
13,0.27,16.3
14,0.29,16.7
15,0.31,17.1
16,0.33,17.4
17,0.35,17.6
18,0.37,17.9
19,0.39,18.2
20,0.41,18.7
21,0.43,19
22,0.45,19.6
23,0.47,19.8
24,0.49,20.2
25,0.51,20.4
26,0.53,20.7
27,0.55,21.1
28,0.57,21.4
29,0.59,21.9
30,0.61,22.4
31,0.63,22.8
32,0.65,23.3
33,0.67,23.6
34,0.69,24
35,0.71,24.3
36,0.73,24.5
37,0.75,25
38,0.77,25.3
39,0.79,25.8
40,0.81,26.5
41,0.83,26.8
42,0.85,27.2
43,0.87,27.7
44,0.89,28.1
45,0.91,28.3
46,0.93,28.6
47,0.95,29.1
48,0.97,29.5
49,0.99,30
50,1.01,30.3
51,1.03,30.7
52,1.05,31
53,1.07,31.3
54,1.09,31.6
55,1.11,31.8
56,1.13,32.3
57,1.15,32.9
58,1.17,33.4
59,1.19,33.8
60,1.21,34.1
61,1.23,34.5
62,1.25,34.7
63,1.27,35.1
64,1.29,35.4
65,1.31,35.8
66,1.33,36
67,1.35,36.4
68,1.37,36.6
69,1.39,37
70,1.41,37.1
71,1.43,37.3
72,1.45,37.6
73,1.47,37.8
74,1.49,38.1
75,1.51,38.2
76,1.53,38.6
77,1.55,38.9
78,1.57,39.3
79,1.59,39.6
80,1.61,37.7
81,1.63,36.9
82,1.65,35.1
83,1.67,35.5
84,1.69,35.7
85,1.71,36.2
86,1.73,36.6
87,1.75,37.3
88,1.77,37.6
89,1.79,37.9
90,1.81,37.3
91,1.83,36.1
92,1.85,34
93,1.87,33.7
94,1.89,34.7
95,1.91,35.8
96,1.93,36.7
97,1.95,36.9
98,1.97,37.1
99,1.99,37.4
100,2.01,37.6
101,2.03,37.5
102,2.05,37.4
103,2.07,37.3
104,2.09,37.3
105,2.11,37.4
106,2.13,37.4
107,2.15,37.5
108,2.17,37.9
109,2.19,38.3
110,2.21,38.8
111,2.23,38.9
112,2.25,39
113,2.27,39.2
114,2.29,39.3
115,2.31,39.4
116,2.33,39.6
117,2.35,40.1
118,2.37,40.4
119,2.39,40.6
120,2.41,40.7
121,2.43,40.9
122,2.45,41
123,2.47,41.2
124,2.49,41.3
125,2.51,41.5
126,2.53,41.8
127,2.55,41.9
128,2.57,42.2
129,2.59,42.3
130,2.61,42.5
131,2.63,42.6
132,2.65,42.7
133,2.67,42.8
134,2.69,43
135,2.71,43.2
136,2.73,43.5
137,2.75,43.6
138,2.77,43.7
139,2.79,43.8
140,2.81,43.9
141,2.83,44.1
142,2.85,44.2
143,2.87,44.4
144,2.89,44.5
145,2.91,44.8
146,2.93,45.2
147,2.95,45.4
148,2.97,45.5
149,2.99,45.5
150,3.01,45.5
151,3.03,45.6
152,3.05,45.7
153,3.07,45.8
154,3.09,45.9
155,3.11,46.1
156,3.13,46.3
157,3.15,46.4
158,3.17,46.5
159,3.19,46.6
160,3.21,46.8
161,3.23,47
162,3.25,47.2
163,3.27,47.5
164,3.29,47.7
165,3.31,47.9
166,3.33,48.2
167,3.35,48.3
168,3.37,48.4
169,3.39,48.7
170,3.41,48.9
171,3.43,49.1
172,3.45,49.1
173,3.47,49.1
174,3.49,49.2
175,3.51,49.3
176,3.53,49.4
177,3.55,49.5
178,3.57,49.6
179,3.59,49.7
180,3.61,49.8
181,3.63,50
182,3.65,50.1
183,3.67,50.2
184,3.69,50.4
185,3.71,50.7
186,3.73,51.1
187,3.75,51.3
188,3.77,51.4
189,3.79,51.5
190,3.81,51.5
191,3.83,51.5
192,3.85,51.6
193,3.87,51.7
194,3.89,51.9
195,3.91,52.2
196,3.93,52.2
197,3.95,52.2
198,3.97,52.3
199,3.99,52.6
200,4.01,53.2
201,4.03,53.2
202,4.05,53.2
203,4.07,53.2
204,4.09,53.2
205,4.11,53.3
206,4.13,53.4
207,4.15,53.4
208,4.17,53.5
209,4.19,53.8
210,4.21,53.9
211,4.23,54.1
212,4.25,54.2
213,4.27,54.3
214,4.29,54.6
215,4.31,54.8
216,4.33,55.3
217,4.35,55.4
218,4.37,55.4
219,4.39,55.5
220,4.41,55.7
221,4.43,56
222,4.45,56
223,4.47,55.9
224,4.49,55.8
225,4.51,55.9
226,4.53,56
227,4.55,56.2
228,4.57,56.3
229,4.59,56.5
230,4.61,56.9
231,4.63,57.4
232,4.65,57.7
233,4.67,57.5
234,4.69,57.1
235,4.71,57
236,4.73,57.1
237,4.75,57.3
238,4.77,57.4
239,4.79,57.4
240,4.81,57.6
241,4.83,58.4
242,4.85,58.7
243,4.87,58.5
244,4.89,58
245,4.91,57.9
246,4.93,57.8
247,4.95,57.9
248,4.97,58.1
249,4.99,58.1
250,5.01,57.9
251,5.03,57.4
252,5.05,55.6
253,5.07,53.6
254,5.09,50.5
255,5.11,49.1
256,5.13,48
257,5.15,46.8
