,angle,torque
0,27.84,12.1
1,27.88,12.8
2,27.91,13.4
3,27.94,14.1
4,27.96,14.5
5,27.98,14.8
6,27.99,15.0
7,28.0,15.2
8,28.02,15.6
9,28.04,16.0
10,28.06,16.7
11,28.09,17.3
12,28.13,18.2
13,28.17,19.0
14,28.2,19.9
15,28.23,20.6
16,28.25,21.1
17,28.27,21.8
18,28.3,22.7
19,28.33,23.3
20,28.35,24.3
21,28.38,24.9
22,28.4,25.6
23,28.41,26.0
24,28.43,26.6
25,28.45,27.0
26,28.46,27.5
27,28.48,28.0
28,28.5,28.5
29,28.51,28.9
30,28.52,29.1
31,28.54,29.6
32,28.55,29.9
33,28.57,30.5
34,28.59,31.0
35,28.61,31.4
36,28.63,31.9
37,28.65,32.3
38,28.66,32.7
39,28.67,33.2
40,28.69,33.5
41,28.7,33.7
42,28.71,33.9
43,28.72,34.1
44,28.72,34.2
45,28.73,34.4
46,28.74,34.6
47,28.75,34.7
48,28.76,34.9
49,28.78,34.9
50,28.8,34.8
51,28.82,34.7
52,28.85,34.5
53,28.89,34.5
54,28.91,34.5
55,28.95,34.5
56,28.98,34.5
57,29.0,34.6
58,29.02,34.7
59,29.04,34.7
60,29.04,34.6
61,29.04,34.3
62,29.05,34.2
63,29.05,34.2
64,29.05,34.3
65,29.05,34.3
66,29.05,34.5
67,29.05,34.6
68,29.06,34.9
69,29.07,35.2
70,29.07,35.4
71,29.08,35.5
72,29.09,35.6
73,29.1,35.8
74,29.11,35.9
75,29.13,36.0
76,29.13,36.0
77,29.14,36.0
78,29.15,36.1
79,29.17,36.3
80,29.19,36.4
81,29.2,36.5
82,29.21,36.5
83,29.22,36.4
84,29.23,36.5
85,29.25,36.6
86,29.26,36.7
87,29.27,36.8
88,29.28,36.8
89,29.29,36.8
90,29.3,36.8
91,29.31,37.0
92,29.32,37.0
93,29.33,37.2
94,29.34,37.2
95,29.35,37.3
96,29.36,37.4
97,29.37,37.5
98,29.39,37.6
99,29.4,37.6
100,29.41,37.7
101,29.42,37.9
102,29.43,38.0
103,29.44,38.0
104,29.45,38.0
105,29.46,38.0
106,29.48,38.1
107,29.49,38.2
108,29.5,38.4
109,29.52,38.4
110,29.53,38.4
111,29.54,38.3
112,29.55,38.4
113,29.56,38.6
114,29.57,38.6
115,29.58,38.7
116,29.58,38.6
117,29.59,38.6
118,29.6,38.7
119,29.6,38.7
120,29.61,38.7
121,29.61,38.7
122,29.61,38.7
123,29.61,38.8
124,29.61,38.8
125,29.61,38.7
126,29.61,38.6
127,29.62,38.7
128,29.62,38.8
129,29.62,39.1
130,29.63,39.2
131,29.64,39.5
132,29.64,39.6
133,29.65,39.8
134,29.65,39.8
135,29.66,39.9
136,29.67,40.0
137,29.67,40.1
138,29.68,40.0
139,29.68,39.9
140,29.68,39.8
141,29.68,39.7
142,29.69,39.6
143,29.69,39.6
144,29.69,39.5
145,29.69,39.6
146,29.69,39.6
147,29.69,39.6
148,29.69,39.6
149,29.69,39.6
150,29.69,39.8
151,29.69,39.9
152,29.69,39.9
153,29.69,39.8
154,29.69,39.7
155,29.69,39.8
156,29.69,39.9
157,29.69,39.9
158,29.69,39.9
159,29.69,39.9
160,29.69,39.9
161,29.69,39.9
162,29.69,39.9
163,29.69,39.8
164,29.69,39.7
165,29.7,39.7
166,29.7,39.8
167,29.7,39.9
168,29.7,40.1
169,29.7,40.3
170,29.7,40.4
171,29.7,40.4
172,29.71,40.7
173,29.72,41.2
174,29.73,41.4
175,29.74,41.7
176,29.75,41.7
177,29.76,41.4
178,29.79,41.1
179,29.83,40.9
180,29.87,40.8
181,29.92,40.7
182,29.96,40.6
183,30.01,40.6
184,30.06,40.7
185,30.11,40.8
186,30.14,40.9
