,angle,torque
0,85.66,5.9
1,85.68,6.4
2,85.72,7.2
3,85.77,8.4
4,85.83,9.2
5,85.89,10.3
6,85.96,11.2
7,86.02,12.5
8,86.06,13.6
9,86.33,20.0
10,86.37,20.9
11,86.41,22.2
12,86.46,23.3
13,86.51,24.5
14,86.55,25.9
15,86.6,26.9
16,86.63,28.2
17,86.66,28.9
18,86.68,29.7
19,86.7,30.2
20,86.75,31.6
21,86.78,32.2
22,86.82,33.8
23,86.85,34.4
24,86.87,35.3
25,86.88,35.8
26,86.9,36.1
27,86.92,36.8
28,86.94,37.2
29,86.95,37.9
30,86.97,38.2
31,86.98,38.6
32,86.99,38.8
33,87.0,39.1
34,87.01,39.4
35,87.03,39.9
36,87.04,40.4
37,87.06,40.8
38,87.08,41.6
39,87.1,42.1
40,87.12,42.8
41,87.14,43.4
42,87.16,43.9
43,87.18,44.4
44,87.2,45.4
45,87.21,45.8
46,87.23,46.3
47,87.24,46.9
48,87.25,47.1
49,87.27,47.7
50,87.28,48.3
51,87.3,48.7
52,87.32,49.4
53,87.33,49.6
54,87.34,50.2
55,87.36,50.8
56,87.37,51.4
57,87.39,51.9
58,87.41,52.6
59,87.43,53.1
60,87.44,53.8
61,87.46,54.0
62,87.47,54.4
63,87.48,54.7
64,87.49,55.3
65,87.5,55.7
66,87.51,56.2
67,87.52,56.5
68,87.54,57.0
69,87.56,57.8
70,87.57,58.1
71,87.58,58.6
72,87.6,59.2
73,87.61,59.7
74,87.62,60.0
75,87.63,60.4
76,87.65,61.0
77,87.66,61.4
78,87.67,61.8
79,87.69,62.2
80,87.71,62.8
81,87.72,63.3
82,87.73,63.6
83,87.75,64.4
84,87.76,64.6
85,87.77,65.2
86,87.79,65.7
87,87.82,66.7
88,87.83,67.4
89,87.85,67.8
90,87.86,68.1
91,87.88,68.6
92,87.89,67.5
93,87.93,65.8
94,87.99,65.2
95,88.08,64.8
96,88.19,64.0
97,88.3,64.1
98,88.38,64.4
99,88.48,64.8
100,88.52,65.3
101,88.55,65.4
102,88.56,65.0
103,88.57,64.5
104,88.59,65.4
105,88.61,66.7
106,88.64,67.4
107,88.67,68.0
108,88.7,68.2
109,88.73,68.3
110,88.77,68.5
111,88.8,68.7
112,88.84,69.0
113,88.85,69.1
114,88.87,69.3
115,88.88,69.4
116,88.9,69.5
117,88.91,69.7
118,88.93,70.3
119,88.95,70.5
120,88.96,70.8
121,88.97,71.1
122,88.99,71.4
123,89.01,71.7
124,89.02,71.8
125,89.04,72.0
126,89.05,72.0
127,89.07,72.4
128,89.09,72.6
129,89.1,72.7
130,89.11,72.6
131,89.12,72.5
132,89.13,72.7
133,89.15,73.0
134,89.16,73.3
135,89.17,72.6
136,89.19,73.3
137,89.2,73.3
138,89.21,73.7
139,89.22,74.4
140,89.23,74.6
141,89.24,74.4
